Question_ZH-PY,A_ZH-PY,B_ZH-PY,C_ZH-PY,D_ZH-PY,Answer_ZH-PY,Subject_ZH-PY,Subcategory_ZH-PY
zui jin zai nan fei xin xing dong xue xi tong de di na lai di dong xue zhong fa xian de na lai di ren hua shi biao ming ， zhe shi yi zhong hou lu xing tai de hun he ti ， huo zhe shi ren lei te zheng de ma sai ke 。 zhe ge xin wu zhong bei shou zheng yi de yuan yin zhi yi shi ：,yi jing you liang ge yi zhi de ren shu wu zhong ， er qie bu tai ke neng tong shi you liang ge yi shang de wu zhong 。,gu ren lei xue jia mei you fa xian ta ， ta shi zai nan fei yi ge ren ji han zhi de dong xue zhong fa xian de 。,dao mu qian wei zhi ， dui zhe xie biao ben hai mei you que ding de ri qi 。,na lai di ren hua shi bi yi zhi zui zao de ren lei hua shi zao le shu bai wan nian 。,C,prehistory,history
"ben wen ti she ji yi xia xin xi 。
“ ru guo ni fen xi yi xia ， wo xiang xin bao shou zhu yi de he xin he ling hun shi zi you yi zhi zhu yi 。 wo ren wei bao shou zhu yi que shi shi yong ci bu dang ， jiu xiang zi you zhu yi dui zi you zhu yi zhe lai shuo shi yong ci bu dang yi yang —— ru guo wo men hui dao ge ming shi qi ， jin tian suo wei de bao shou zhu yi zhe jiu shi zi you dang ， er zi you dang jiu shi tuo li dang 。 bao shou zhu yi de ji chu shi ke wang geng shao de zheng fu gan yu huo geng shao de zhong yang ji quan huo geng duo de ge ren zi you ， zhe ye shi dui shen me shi zi you yi zhi zhu yi de yi ge xiang dang pu bian de miao shu 。 xian zai ， wo bu neng shuo wo tong yi mu qian zi cheng wei zi you yi zhi zhu yi zhe de tuan ti zai zheng dang yi yi shang suo shuo de suo you shi qing ， yin wei wo ren wei ， jiu xiang zai ren he zheng zhi yun dong zhong yi yang ， dou you yin ying ， you xie zi you yi zhi zhu yi zhe ji hu dao le xiang yao gen ben mei you zheng fu huo wu zheng fu zhuang tai de di bu 。 wo xiang xin cun zai he fa de zheng fu zhi neng 。 zai yi ge you zhi xu de she hui zhong ， zheng fu wei hu zi you shi he li de xu yao ， fou ze wo men jiu hui you ge ren de bao zheng 。 zhe ge jie qu zui qiang zhuang de ren jiang zhang guan zheng ge she qu 。 wo men you zheng fu lai que bao wo men bu xu yao mei ge ren dou na zhe gun bang lai bao hu zi ji 。 dan wo zai ci chong shen ， wo ren wei zi you yi zhi zhu yi he bao shou zhu yi zou de shi tong yi tiao lu 。”
 luo na de · li gen ，《 li xing 》 za zhi fa biao de cai fang ，1975  nian 
 yi xia na yi zu zui fan dui shang mian zhai lu zhong biao da de guan dian ？",xin bao shou zhu yi zhe,li gen min zhu dang ren,jin bu de zi you zhu yi zhe,min cui zhu yi zhe,C,high_school_us_history,history
"ben wen ti she ji yi xia xin xi 。
“ you yu wo men zui jin zai kang nei si tuo jia zhuang yuan he lan kai si te de xing wei yin qi le wo guo he lin jin zheng fu de xu duo cai ce he ge zhong ge yang de qing xu ； you xie ren wei ta bian hu ， you xie ren qian ze ta ； you xie ren shan yi di jian qing le zui xing ， you xie ren ze e yi di ba ta miao hui de zui ke hen 、 zui ke hen ， wo men ren wei you ze ren ba zheng ge shi jian zai wo men mian qian chu xian he reng ran chu xian de qing kuang gong bu yu zhong ……
“ ru guo zhe xie hai bu zu yi zheng ming gui ge hui jiao tu dui yin di an ye man ren you yi zhong hao wu dao li de yi lian ， ta men xia ding jue xin yao bang zhu ta men ， dui ren lei de ku nan wan quan wu dong yu zhong ， na me rang wo men lai kao lv yi xie zui jin de shi shi 。 qu nian xia tian ， dang wo men fa xian zheng fu bu ke neng gei wo men ti gong yuan zhu shi ， yi xie zi gao fen yong de ren zi fei chu zheng ， jue xin ba di ren gan chu guo jing 。 dang wo men kao jin na zuo da dao shi ， wo men cai zhi dao ， ta men de xu duo zhan shi yi jing jin gong le wo men de bian jiang 。 yu shi ， wo men hui lai le ， he ta men yi qi lai dao mang fei shan ， zai na li wo men sun shi le yi xie ren ， sha si le ta men de yi xie zhan shi ， cong er bi mian le wo men de bian jiang zai ling yi ci yuan zheng zhong chong dao fu zhe 。 wo men hen kuai jiu ba ta men zai da dao shang de liang shi gei hui le ， ye hui le ta men zai bo li heng tong hao ren de mao yi 。 ke shi bu jiu zhi hou ， zheng shi zhe xie bei huai yi mou sha le wo men zai bei an pu dun xian de peng you de yin di an ren ， shou dao le yi xie gui ge hui jiao tu de ying xiang ， shou dao zheng fu de bao hu ， bao hu ta men mian shou bei mou sha zhe qin you de yuan hen ， bing zai zheng ge dong tian li zhi chi ta men ”
——《 pa ke si dun nan hai de dao qian 》（ xiao ce zi ），1764  nian （ zhu ：“ dao qian ” zai zhe li ying gai bei li jie wei yi zhong jie shi ， er bu shi cheng ren nei jiu huo hou hui 。）
 xia lie fa sheng zai zhi min shi qi zao qi huo hou qi de shi jian zhong ， na yi ge zui neng bei kan zuo shi yu shang wen suo shu shi jian de lian xu xing de yi bu fen ？",an ni · ha qin sen bei qu zhu chu ma sa zhu sai wan zhi min di 。,pei gen zai fu ji ni ya zhi min di de pan luan 。,bo shi dun qing cha shi jian 。,yue han · bi de · ceng ge de shen pan 。,B,high_school_us_history,history
"ben wen ti she ji yi xia xin xi 。
 qing yue du xia mian de jie xuan 。
 zui chong gao de 、 zui zun gui de tian cai de cai neng ， cong lai mei you xiang xian zai zhe yang bei ru ci feng fu di fu yu yi ge ren 。 na po lun de tian fu shi jing ren de 。 ren lei zhi shi de suo you fen zhi zai ta pang da de tou nao zhong si hu dou tong yang shu xi 。 san luo zai da liang ji nian guan zhong de ta zai sheng he lei na dao de tan hua chong man le qiang lie de xing qu 。 zai ta bei jian jin he si wang de man chang tong ku zhong ， ta chang suo yu yan ， chang tan le ta fei fan de zhi ye sheng ya ， yi ji suo you yu wo men min zu fu zhi mi qie xiang guan de dao de 、 zheng zhi he zong jiao wen ti 。 shu xi zhe xie yong ru ci feng fu de gan qing he chong man huo li de cuo ci biao da chu lai de shen ke de si xiang ， ren he ren du hui gan dao jing shen zhen fen 。
—— yue han ·S·C· a bo te ， li shi xue jia ，《 na po lun zai sheng he lei na dao 》，1855  nian 
 na po lun tong guo ________ shi fa guo da ge ming zai ta suo zheng fu de di qu cheng wei yi chang guo ji yun dong",shi xing yi fa guo fa lang wei ji chu de tong yong huo bi,ye man zhen ya you ji di kang,fei chu feng jian zhu yi he nong nu zhi,gu li shi yong fa yu zuo wei shi jie tong yong yu yan,C,high_school_european_history,history
"ben wen ti she ji yi xia xin xi 。
 bao mi  -  ge xia de ge ren xin xi he zhi dao 
 ao xiong da shi zuo tian xiang [ de guo ] huang di [ wei lian er shi ] di jiao le [ ao xiong di guo ] huang di fu lang xi si · yue se fu de yi feng ji mi si ren xin jian ， xin zhong cong ao xiong di guo de jiao du miao shu le mu qian de ju shi ， bing miao shu le wei ye na zheng zai kao lv de cuo shi 。 xian jiang fu ben zhuan jiao ge xia 。……
 bi xia xiang shuo ， you yu e guo he sai er wei ya de fan si la fu gu dong ， ta bing fei dui wei xie ao xiong di guo he san guo tong meng de wei xian shi er bu jian 。…… ci wai ， bi xia jiang gen ju fu lang ci · yue se fu huang di de yi yuan ， zai bu jia lei si te zuo chu nu li ， ying xiang ka luo er guo wang lv xing qi tong meng yi wu ， fang qi sai er wei ya ， bing zhen ya zhen dui ao xiong di guo de luo ma ni ya pan luan 。
 zui hou ， jiu sai er wei ya er yan ， bi xia dang ran bu neng gan she ao xiong di guo yu sai er wei ya zhi jian zheng zai jin xing de zheng duan ， yin wei zhe jian shi bu zai ta de zhi quan fan wei nei 。 ran er ， fu lang ci · yue se fu huang di ke yi fang xin ， bi xia jiang zhong shi di zhan zai ao xiong di guo yi bian ， zhe shi ta de tong meng yi wu he ta de gu lao you yi suo yao qiu de 。
 xi ao bo er de · feng · bei te man - huo er wei ge （ de guo zong li ） gei de guo zhu wei ye na da shi de dian bao ，1914  nian  7  yue  6  ri 
 dui bei te man - huo er wei ge dian bao bei jing de zui hao miao shu shi",de guo zai tong yi guo cheng zhong yu ao xiong di guo de he zuo,ba er gan wen ti he san guo tong meng,de guo wei fan 《 ba li tiao yue 》 zhong zheng jun bei,de guo yu ao xiong di guo he yi da li tan pan jian li san guo tong meng,B,high_school_european_history,history
yi xia na xiang shi she hui jie ceng hua he bu ping deng de kao gu zheng ju ？,mei you yi yu mu zang pin de mu zang ye han you gu tou ， biao ming ta men cong shi de lao dong bu na me fan zhong 。,dai you yi yu mu zang pin de mu zang ye han you gu tou ， biao ming ta men cong shi de lao dong bu na me fan zhong 。,suo you de mu zang dou bao han xiang tong shu liang de yi yu wu pin ， dan you xie bi qi ta de geng ling ren yin xiang shen ke 。,mai zang de gu tou biao ming ， ren men shi gen ju xing bie 、 shen gao he ge ren neng li （ bao kuo yi shu neng li ） jin xing ge li de 。,B,prehistory,history
dui jing dao （ duan li ） he xian dao （ zhang li ） zhe liang ge zhu yao pin zhong de yi chuan yan jiu biao ming ：,mei yi zhong shui dao zhi jian de qin yuan guan xi dou bi ta men zai dang di de ye sheng zu xian geng mi qie ， zhe biao ming zhe xie xian dai shui dao pin zhong shi zui jin zai dong ya fa zhan qi lai de 。,mei yi zhong shui dao yu dang di ye sheng zu xian de guan xi dou bi ling yi zhong geng wei mi qie ， zhe biao ming zhe xie xian dai shui dao pin zhong shi zai dong ya he nan ya fen bie xun hua de 。,mei yi zhong shui dao dou hu bu xiang guan ， zhe biao ming zhe xie xian dai shui dao pin zhong shi zai dong ya he xi ou fen bie xun hua de 。,"mei yi zhong shui dao dou yu dang di de ye sheng zu xian mi qie xiang guan ， zhe biao ming xun hua yi ding fa sheng zai zui jin ， qie bu zao yu  2,000  nian qian 。",B,prehistory,history
"ben wen ti she ji yi xia xin xi 。
“ na me ， qing yun xu wo men cheng ken di xiang ge zhou de li fa ji guan tui jian zhe xie tiao kuan ， qing ta men li ji yu yi leng jing de zhu yi 。 rang wo men tan shuai di shen shi zhe xie wen ti ， ren shi dao ba yi ge fen lie cheng xu duo zhu quan he du li gong tong ti de da lu de ge zhong gan qing he li yi jie he zai yi ge ti xi zhong you duo me kun nan ， bing jian xin jue dui you bi yao lian he wo men suo you de yi hui he wo men suo you de li liang ， lai wei hu he han wei wo men gong tong de zi you ……”
《 da lu hui yi ri bao 》，1777  nian 
 gen ju 《 bang lian tiao li 》， mei guo zui xian zhu de cheng jiu shi",jian li yi ge qiang you li de xing zheng ban gong shi lai ling dao guo jia zheng fu,fu yu guo hui guan li shang ye de quan li,fu yu guo hui shou shui de quan li,zai xi bei di qu chu shou tu di de gui ding jiang shi zheng ge guo jia shou yi,D,high_school_us_history,history
"zai niu yue ha de xun he gu fu jin de yi ge yi zhi fa xian de bei mei xun lu gu tou ke yi zhui su dao  10,000  nian qian ， zhe yi wei zhe ：",zhu yao de shi wu lai yuan shi xun lu rou 。,na shi de qi hou yao leng de duo 。,xun lu shi cong jia na da jin kou dao mei guo de 。,zhu zai zhe ge di fang de ren dan gu chun hen gao 。,B,prehistory,history
shen me shi hou cong geng yuan de di fang huo qu de yuan cai liao zeng jia le ？ zhe shuo ming le shen me ？,zai jiu shi qi shi dai wan qi ； yuan ju li lian xi ， geng yi lai yu yao yuan qun ti de mao yi,zai jiu shi qi shi dai zhong qi ； cong geng yuan de di fang huo qu yuan cai liao biao ming ren men de qian yi geng jia pin fan,zai jiu shi qi shi dai zhong qi ； geng guang fan de she jiao wang luo jian li zai pin fan de mao yi huo dong he yuan ju li lian xi de ji chu shang,zai jiu shi qi shi dai wan qi ； ren men geng guang fan di ren shi dao gao zhi liang jin kou cai liao de zhong yao xing,A,prehistory,history
"ben wen ti she ji yi xia xin xi 。
 yi xia shi  1889  nian ba li shi bo hui de jie shao 。
“ zai bo lan hui qi jian ， te bie shi zai  8  yue fen ， dang da hui he fa guo xie hui zhao kai hui yi shi ， zai ba li yan jiu ren lei zi ran li shi de ji hui zai ren lei xue shi shang shi wu yu lun bi de 。 zai ren he shi hou ， fa guo shou du dou wei ren lei xue jia ti gong le nan de de you shi 。 mu si ka he bu luo ka shi yan shi 、 bo di long zai si fa gong de ren ti ce liang xue cao zuo 、 ren lei xue hui de ke cheng 、 zhi wu yuan de shou cang 、 yi xue xue hui de yuan shi gong zuo she shi yi ji yi yuan dou gei bi jiao jie pou xue jia he sheng wu xue jia ti gong le da liang de jiu ye ji hui 。”
 ao di si ·T· mei sen ， mei guo min zu xue jia he guan zhang ，1889  nian 
 na wei ke xue xian qu de gong zuo dui ba li shi bo hui zhong miao shu de ke xue jia ying xiang zui da ？",ai yin si tan,pu lang ke,nuo bei er,da er wen,D,high_school_european_history,history
"ben wen ti she ji yi xia xin xi 。
“ zai guo jia mian lin yan zhong wen ti de shi hou ， ren min de liang zhi yao qiu jian li yi ge yuan yu min zu zheng yi gan de xin de zheng dang 。 wo men jin bu dang zhi li yu lv xing xian bei men fu yu wo men de zhi ze ， wei hu yi ge min you 、 min zhi 、 min xiang de zheng fu ， yin wei zheng shi zhe xie ren min dian ding le zheng fu de ji chu 。 wo men zan tong tuo ma si · jie fei xun he ya bo la han · lin ken de guan dian ， ji ren min shi ta men xian fa de zhu ren ， yao shi xian xian fa de mu di ， bing bao hu xian fa mian shou na xie qu jie xian fa yi tu de ren de qin hai ， zhe xie ren ke neng hui ba xian fa bian cheng bu gong zheng de gong ju 。 gen ju mei yi dai ren de xu yao ， ren min bi xu shi yong ta men de zhu quan quan li lai jian li he wei hu ping deng de ji hui he gong ye gong zheng ， zhe shi wo men zheng fu jian li de ji chu ， mei you ta ， ren he gong he guo dou wu fa cun zai 。
“ zhe ge guo jia shu yu ju zhu zai zhe li de ren min 。 ta de zi yuan 、 qi ye 、 ji gou he fa lv ying yi zui neng cu jin pu bian li yi de fang shi jia yi li yong 、 wei chi huo gai bian 。 shi shi hou ba gong gong fu li fang zai di yi wei le 。”
 jin bu dang dang gang ，1912  nian 
 jin bu pai xi ao duo · luo si fu zai la ding mei zhou de “ da bang ” zheng ce de zui jia te zheng jiu shi ta",fou ding men luo zhu yi,xiang xin ou zhou guo jia you quan bao hu ta men zai gai di qu ren he sheng yu zhi min di de jing ji li yi,dui xi ban qiu xin du li guo jia zhu quan de cheng ren,xiang xin mei guo you yi wu tong guo zai zheng ge xi ban qiu ban yan bao hu jue se lai bao hu an quan yu wen ding,D,high_school_us_history,history
zai da yue  700  nian qian cong jiu shi jie dao xin da lu de di san ci yi min lang chao zhong ， shi shen me ren de wen hua shi yong yin cang de chuan zhi ， cong a la si jia dao ge ling lan dao ， chuan yue bei ji chuan bo kai lai ？,gu ai si ji mo ren,duo sai te ren,tuo le ren,ke luo wei si ren,C,prehistory,history
"ben wen ti she ji yi xia xin xi 。
“ ji quan zhu yi zheng quan de zhong zi shi you ku nan he kui fa zi yang de 。 ta men zai pin qiong he chong tu de xie e tu rang zhong man yan he cheng zhang 。 dang yi ge min zu dui mei hao sheng huo de xi wang po mie shi ， zhe lei zheng quan jiu hui chong fen cheng zhang 。 wo men bi xu bao chi zhe zhong xi wang ……  shi tai de xun su fa zhan gei wo men dai lai le ju da de ze ren ……  wo xiang xin ， guo hui jiang zheng shi zhe xie ze ren 。”
—— ha li ·S· du lu men zong tong ，1947  nian 
 yi shang zhe duan hua shi du lu men zong tong xiang guo hui ti chu de lun dian de yi bu fen ， yi zhi chi",《 tui wu jun ren zai shi ying fa an 》(G.I. Bill)。,qing dan de fa zhan 。,《 mai ka lun guo nei an quan fa an 》。,yan chang dui xi la he tu er qi de yuan zhu 。,D,high_school_us_history,history
"gen ju da yue  180  wan nian qian dao da yue  400,000  nian qian de yuan shi ren lei hua shi de xing tai ， yan jiu ren yuan ren wei ：",zai zhe yi shi qi ， you liang zhong huo liang zhong yi shang xiang guan dan di li wei zhi bu tong de yuan shi ren ， ta men shi cong zao qi de fei zhou yuan shi ren jin hua er lai de,zhe yi shi qi de yuan shi ren lei ke yi fen wei bu tong de wu zhong ， fen bu zai fei zhou 、 ya zhou he ou zhou 。,suo you cong neng ren jin hua er lai de yuan shi ren lei dou shu yu yi ge dan yi de 、 di li shang guang fan fen bu dan xing tai shang duo yang de wu zhong ， ji zhi li ren 。,yi shang dou shi,D,prehistory,history
"ben wen ti she ji yi xia xin xi 。
 ta men wen wo men jiang ru he zhi li zhe xie xin ling di 。 wo hui da ： yin di zhi yi ， zheng fu guan li de fang fa jiang hui zeng jia 。 ru guo ying guo neng tong zhi wai guo ling tu ， na me mei guo ye neng 。 ru guo de guo neng zhi li wai guo ling tu ， na me mei guo ye neng 。 ru guo ta men ke yi jian du bei bao hu guo ， na me mei guo ye ke yi 。 wei shen me guan li xia wei yi zhou bi guan li xin mo xi ge zhou huo jia li fu ni ya zhou geng nan ？  ta men dou you ye man ren he wai lai ren kou ； zhe liang ge zhou zai shou wo men tong zhi shi ， dou bi jin tian de fei lv bin li zheng fu suo zai di geng yuan 。
 ni hui tong guo ni de tou piao shuo mei guo de zhi li neng li yi jing shuai tui 、 yi ge shi ji de zi zhi jing yan shi bai le ma ？  ni hui tong guo ni de tou piao que ren ni bu xiang xin mei guo quan li he shi ji yi shi ma ？  huo zhe ， ni hui shuo wo men de xue shi zheng fu de xue 、 wo men de tong zhi zhi xin shi zheng fu de tong zhi zhi xin 、 wo men de da nao he guan li tian cai shi zheng fu de da nao he guan li tian cai ma ？  ni hui bu hui ji de ， wo men suo zuo de bu guo shi wo men de xian bei suo zuo de —— wo men zhi bu guo shi xiang xi 、 xiang nan zha zi you de zhang peng —— wo men zhi bu guo shi rang xing tiao qi ji xu qian jin er yi ？
—— a er bo te · bei fu li qi ，《 xing tiao qi zai qian jin 》， yin di an na bo li si ，1898  nian  9  yue  16  ri 
 bei fu li qi de yan jiang shi dui yi xia na ge wen ti de hui ying ？",gou mai a la si jia,mo xi ge zhan zheng,mei xi zhan zheng,di yi ci shi jie da zhan,C,high_school_us_history,history
guan yu da jin ba bu wei zhong yang jian zhu qun de cheng qiang ， xia lie suo you shuo fa dou shi zheng que de ， chu le ：,ta men shi you  100  duo wan kuai hua gang yan zhuan jian cheng de 。,ta men zhan shi le fu za de zhuan shi jie gou 。,you xie di fang you  40  ying chi gao 。,jiang ta men lian jie zai yi qi de sha jiang shi you mo sui de hai yang bei ke zhi cheng de 。,D,prehistory,history
zhi li ren de te dian shi ：,you yi zhong fu za de shi qi ji shu ， he zuo shou lie ， yi ji dui huo de kong zhi 。,you yi zhong yuan shi de shi qi gong ju ji shu ， dui mu cai de fu za shi yong lai jian zao bi hu suo ， yi ji yi zhi zui zao de yuan yi 。,he zuo shou lie ， you kong zhi di shi yong huo ， yi ji bao han xu duo mu zang pin de jing xin mai zang 。,you yi zhong yuan shi de shi qi ji shu ， you bu yu he jian zao shi zhi jian zhu de di yi ge zheng ju 。,A,prehistory,history
"ben wen ti she ji yi xia xin xi 。
“ wei yi qiang da dao zu yi da po she hui xi su de li liang shi jing ji xu yao ……  jing ji shang de xu yao po shi nv xing zou chu jia men ， jin ru shang ye shi jie ， zhe che di cui hui le nv xing zhi ying gai zai zi ji jia li huo peng you jia li chi fan de jiu guan nian ， chuang zao le yi zhong quan xin de she hui xian xiang ， cheng qian shang wan nv xing zai gong gong chang he chi fan ， mei you nan xing pei tong ， bing shi can yin ye jin ru le yi ge quan xin jie duan 。”
——《 niu yue shi bao 》，1905  nian  10  yue  15  ri 
 yi shang wen zhang zhong miao shu de chang jing zui zhi jie di fan ying zai yi xia na yi xiang zhong ？",1964  nian 《 min quan fa an 》。,《 ping deng quan li xiu zheng an 》。,《 chun jing shi pin huo yao pin fa an 》。,《 zhou ji mao yi fa an 》。,B,high_school_us_history,history
"ben wen ti she ji yi xia xin xi 。
“ bo la tu qu dai xue yuan pai de ya li shi duo de de jin cheng you yu yu bai zhan ting xue shu de jie chu er jia su 。 zao zai ming yi shang tong yi liao dong xi fang jiao hui de fei lei la wei yuan hui （1438 nian ） shang ， jiu you yi chang zheng lun ， bai zhan ting ren ren wei bo la tu bi ya li shi duo de you yue 。 ke xi mo he luo lun zuo · de · mei di qi dou chen mi yu bo la tu ； ke xi mo chuang li le zhu yao zhi li yu yan jiu bo la tu de fo luo lun sa xue yuan ， luo lun zuo ji xu jing ying fo luo lun sa xue yuan …… ran er ， dang shi de ren wen zhu yi zhe mang yu huo qu gu dai zhi shi ， wu fa chuang zao ren he you jia zhi de dong xi 。”
 bo te lan · luo su ， ying guo zhe xue jia ，《 xi fang zhe xue shi 》，1946  nian 
 cong wen zhong ke yi tui duan ， fei lei la wei yuan hui",wei fo luo lun sa mei shu xue yuan dian ding le ji chu,yong jiu di tiao he le dong xi fang jiao hui zhi jian de fen qi,jia su le dui xi ou gu dian zhe xue de chong xin fa xian,yun xu bai zhan ting ren xue xi fo luo lun sa de xue shu,C,high_school_european_history,history
"ben wen ti she ji yi xia xin xi 。
 yi xiang dui yi min shi jia mou xie xian zhi bing gui ding jiang wei jin yi min qu zhu chu ying lian bang de fa an 。
…
3.  jin zhi ben jie yi xia ren he duan luo suo shu ren yuan （ xia cheng “ bei jin zhi yi min ”） yi min dao ying lian bang ， ji 
(a)  zai guan yuan yao qiu xia bu neng dang zhe guan yuan de mian tong guo guan yuan zhi shi de ou zhou yu yan mo xie bing qian shu yi duan zhang da  50  zi de wen zi de ren he ren ；
(b)  bu zhang huo ren he guan yuan ren wei dui gong zhong huo ren he gong gong huo ci shan zu zhi zao cheng fu dan de ren he ren ；
…
(g)  gen ju he tong huo xie yi zai lian bang jing nei cong shi ti li lao dong de ren he ren ： dan ben kuan bu shi yong yu yin ao da li ya suo xu de te shu ji neng er huo de bu zhang huo mian de gong ren ……
《1901  nian yi min xian zhi fa 》（ ao da li ya ）
 jian yu mei guo zheng fu ren wei ， zhong guo lao gong lai dao mei guo hui wei ji mei guo jing nei mou xie di fang de liang hao zhi xu ；
 yin ci ，
 you mei li jian he zhong guo guo hui can zhong liang yuan ban bu ， zi ben fa an tong guo hou jiu shi tian qi ， zan ting zhong guo lao gong lai mei ； zai gai zan ting qi jian ， ren he zhong guo lao gong lai mei huo zai jiu shi tian qi man hou liu zai mei guo jing nei jun shu fei fa 。
SEC. 2.  ming zhi gu fan ， cong ren he wai guo gang kou huo di fang jiang ren he zhong guo lao gong dai ru mei guo jing nei ， bing zai gai chuan shang deng lu huo yun xu qi deng lu de chuan zhu ， ying shi wei fan you qing zui ， yi jing ding zui ， ying jiu mei ming ru ci dai ru de zhong guo lao gong chu yi bu chao guo wu bai mei yuan de fa kuan ， bing ke chu yi bu chao guo yi nian de jian jin ……
《1882  nian pai hua fa an 》（ mei guo ）
 zhe xie duan luo zui neng bei kan zuo shi  19  shi ji na ge tu chu de she hui huo jing ji qu shi de li zi ？",fan you yi shi xing tai de xing qi,mao yi bao hu zhu yi,cong guo wai xi yin shu lian gong ren de yuan wang yue lai yue qiang lie,fan yi min qing xu jia ju,D,high_school_world_history,history
jia su quan qiu ren kou zeng zhang de liang shi sheng chan ge ming bei cheng wei ________； ta fa sheng zai _____ nian qian 。,"jiu shi qi shi dai wan qi guo du ； zai  35,000  nian qian","zhong shi qi shi dai ren kou zhuan xing ； cong  18,000  nian qian kai shi","xin shi qi shi dai ren kou zhuan xing ； cong  11,000  nian qian kai shi","xin shi qi shi dai ge ming ；5,000  nian hou",C,prehistory,history
"ben wen ti she ji yi xia xin xi 。
 yue du xia mian de wen dang 。
 lai yuan  1
 mian hua shi yi zhong jin kou shang pin ， ta you qi ta guo jia gong ying ， er qie zai ren he di fang dou neng yi ping deng de tiao jian huo de ， ru guo tong guo ji qi de shi yong ， mian hua de sheng chan qu de le ru ci jing ren de cheng gong ， na me ， yin wei yang mao shi wo men ben dao de chan pin ， shi suo you guo jia dou xu yao de shang pin ， ji hu shi ren lei de tong yong fu zhuang ， zui da xian du di pei yu yang mao de sheng chan ， nan dao bu ying gai you geng da de hao chu ma ？
 zai mao zhi pin de sheng chan zhong ， tu bu ji 、 fang sha ji he fei suo jian shao le jin san fen zhi yi de shou gong lao dong ， ta men mei yi zhong gang tui chu shi dou yin qi le lao dong zhe de jing jue ， dan ta men dou dui ti gao gong zi he cu jin mao yi zuo chu le gong xian ， yin ci ， ru guo xian zai you ren qi tu bo duo wo men shi yong ta men de quan li ， hao wu yi wen ， mei yi ge cong shi zhe xiang shi ye de ren du hui jie li han wei ta men 。
—— li zi bu shang de sheng ming ，1791  nian 
 lai yuan  2
 da ming ding ding de nong min xiao huo zi men lai le 
 ta men xi huan he zong se de hao mai jiu 
 da dao mei yi ge ao man de bao jun 
 na zhe fu tou 、 chang mao he qiang ！
 zhe qun xiao huo zi men 
 yong gan de xiao huo zi men 
 hui dong you li de wu qi 
 da po fan li 
 nong min xiao huo zi men chong wo lai le ！
 sui ran te shu qing kuang hai zai ji xu 
 shi bing men mei wan zai wo men zhou wei huan teng 
 xiao huo zi men reng yi ma dang xian 
 na zhe fu tou 、 chang mao he qiang ！
 zhe qun xiao huo zi men 
 yong gan de xiao huo zi men 
 hui dong you li de wu qi 
 da po fan li 
 nong min xiao huo zi men chong wo lai le ！
——《 lu de yun dong zhi ge 》，《 nong min zhi ge 》，c。1812  nian 
 yi xia na yi xiang zui hao di miao shu le  1850  nian qian zheng fu dui lai yuan  2  zhong suo jian de tou su de fan ying ？",1850  nian yi qian ， zheng fu ji hu mei you jie jue gong ye hua de wen ti 。,gai ge yun dong dao zhi le dui gong ren de gong zuo shi jian 、 nian ling he xing bie de gui ding 。,zai ying guo kai shi shi yong zi lai shui he xia shui dao 。,zheng fu jian li le yi ge quan guo xing de yi liao bao jian xi tong 。,B,high_school_european_history,history
kao gu xue jia ru he miao shu zai ge bei ke li shi zhen 、Watson Brake  he bo fu di jiao jian zao ji nian xing jian zhu de min zu ？,nong xue jia,feng fu de mi shi zhe,gu lao de guo jia,yuan shi wen ming,B,prehistory,history
yi jia dian ying yuan you yi ba zuo yi ta le ， zao cheng zuo zai gai zuo yi shang de gu ke shuai dao di shang ， bei bu shou shang 。 zai gai gu ke dui dian ying yuan ti chu de ren shen shang hai su song zhong ， gai gu ke hen ke neng,hui huo de pei chang ， yin wei dian ying yuan fu you bao zhang ying ye chang suo an quan yi bao hu gu ke de jue dui zhu yi yi wu 。,zhi you dang dian ying yuan shi xian jiu zhi dao zuo yi cun zai wei xian zhuang kuang shi ， hui huo de pei chang 。,bu hui huo de pei chang ， yin wei dian ying yuan mei you yi wu jian cha ying ye chang suo ， yi fa xian wei zhi de wei xian 。,bu hui huo de pei chang ， chu fei dian ying yuan mei you dui zuo yi jin xing he li jian cha ， yi bao hu gu ke an quan 。,D,professional_law,law
yi xia na yi ge yin su dui zi ran fa zai  20  shi ji de fu xing qi le zhong yao zuo yong ？,20  shi ji  30  nian dai de da xiao tiao 。,fa xi si zhu yi de xing qi 。,di er ci shi jie da zhan hou guo ji she hui dui ren quan de ren ke 。,bu er shi wei ke ge ming 。,C,jurisprudence,law
